tree   x   y   rad   votes   z_min   z_max   points
5   -4.67715   -4.86996   0.075   5   17.4   17.9   38   
5   -4.37767   -4.78209   0.075   5   17.9   18.4   54   
5   -5.00552   -5.42107   0.075   5   18.4   18.9   60   
5   -4.47286   -4.75941   0.05   5   18.9   19.4   45   
5   -4.7917   -4.83785   0.075   4   19.4   19.9   55   
5   -4.4638   -4.61197   0.025   4   19.9   20.4   31   
5   -3.86613   -5.20643   0.025   3   20.4   20.9   26   
5   -4.66136   -5.10392   0.05   4   20.9   21.4   59   
5   -4.40997   -4.84628   0.05   3   21.4   21.9   24   
5   -4.71973   -4.3953   0.025   3   21.9   22.4   27   
5   -4.3789   -5.19226   0.025   3   22.4   22.9   13   
5   -4.13804   -5.17562   0.025   3   22.9   23.4   6   
5   -4.52686   -4.31265   0.025   3   23.4   23.9   7   
6   -4.27257   1.19645   0.1   15   -0.6   -0.1   185   
6   -4.26224   1.19812   0.1   18   -0.1   0.4   172   
6   -4.25699   1.204   0.1   18   0.4   0.9   161   
6   -4.234   1.22143   0.1   14   0.9   1.4   167   
6   -4.22502   1.23172   0.1   24   1.4   1.9   222   
6   -4.20931   1.24585   0.1   19   1.9   2.4   210   
6   -4.20371   1.24898   0.1   21   2.4   2.9   179   
6   -4.19109   1.2459   0.1   17   2.9   3.4   156   
6   -4.2136   1.23901   0.1   22   3.4   3.9   165   
6   -4.24324   1.23375   0.1   21   3.9   4.4   161   
6   -4.31229   1.21876   0.075   14   4.4   4.9   145   
6   -4.34892   1.21022   0.075   17   4.9   5.4   142   
6   -4.37375   1.19347   0.075   19   5.4   5.9   130   
6   -4.39719   1.17581   0.075   18   5.9   6.4   128   
6   -4.41478   1.17715   0.075   17   6.4   6.9   118   
6   -4.47819   1.18456   0.075   14   6.9   7.4   99   
6   -4.50365   1.20868   0.075   12   7.4   7.9   93   
6   -4.54068   1.20057   0.075   14   7.9   8.4   83   
6   -4.57716   1.20963   0.075   10   8.4   8.9   56   
6   -4.58757   1.26938   0.075   11   8.9   9.4   61   
6   -4.63411   1.25961   0.075   9   9.4   9.9   61   
6   -4.64492   1.31786   0.075   9   9.9   10.4   58   
6   -3.9347   1.58769   0.05   11   10.4   10.9   56   
6   -4.64897   1.31697   0.075   10   10.9   11.4   63   
6   -4.68505   1.33984   0.075   13   11.4   11.9   75   
6   -4.70492   1.35941   0.075   12   11.9   12.4   69   
6   -4.70896   1.38249   0.075   9   12.4   12.9   48   
6   -4.72044   1.3875   0.075   10   12.9   13.4   50   
6   -4.72611   1.40956   0.075   11   13.4   13.9   47   
6   -4.75528   1.34673   0.05   6   13.9   14.4   27   
6   -4.73064   1.42173   0.075   7   14.4   14.9   37   
6   -4.77127   1.49673   0.025   6   14.9   15.4   27   
6   -4.75091   1.48796   0.05   6   15.4   15.9   47   
6   -4.71063   1.54545   0.075   7   15.9   16.4   45   
6   -4.71253   1.52141   0.075   5   16.4   16.9   19   
6   -4.805   1.57173   0.025   5   16.9   17.4   28   
6   -4.69174   1.48491   0.025   3   17.4   17.9   22   
6   -3.70786   1.01286   0.05   4   17.9   18.4   41   
6   -4.77844   1.6142   0.075   7   18.4   18.9   45   
6   -4.73031   1.47329   0.05   6   18.9   19.4   40   
6   -4.83047   1.52346   0.05   4   19.4   19.9   34   
6   -4.7559   1.5784   0.025   4   19.9   20.4   51   
6   -4.92739   1.28838   0.025   4   20.4   20.9   54   
6   -4.4961   0.71561   0.05   4   20.9   21.4   52   
6   -4.02278   1.86189   0.075   4   21.4   21.9   36   
6   -4.7727   1.46992   0.05   4   21.9   22.4   19   
7   -4.16555   4.20509   0.1   16   -0.6   -0.1   168   
7   -4.13588   4.20269   0.1   14   -0.1   0.4   170   
7   -4.14206   4.26577   0.15   16   0.4   0.9   172   
7   -4.08132   4.27445   0.1   13   0.9   1.4   165   
7   -4.32275   4.06551   0.275   12   1.4   1.9   176   
7   -4.03502   4.30826   0.1   13   1.9   2.4   173   
7   -3.98938   4.30719   0.075   13   2.4   2.9   175   
7   -4.37442   4.34777   0.075   17   2.9   3.4   207   
7   -3.92917   4.34096   0.075   15   3.4   3.9   168   
